ranking,nome_jogo,plataforma,ano,genero,editora,NA_vendas,EU_vendas,JP_vendas,outras_vendas,global_vendas,preco,receita_NA,receita_EU,receita_JP,receita_outras,receita_global,anos_desde_lancamento
1821,Pilotwings 64,N64,1996.0,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12,27.08,15.16,6.5,8.12,0.54,30.33,28
1822,Crackdown 2,X360,2010.0,Shooter,Microsoft Game Studios,0.63,0.37,0.02,0.1,1.12,24.12,15.2,8.92,0.48,2.41,27.01,14
1823,Final Fantasy XIV: A Realm Reborn,PS3,2013.0,Role-Playing,Square Enix,0.36,0.33,0.28,0.15,1.12,57.95,20.86,19.12,16.23,8.69,64.9,11
1824,Castlevania: Lords of Shadow,PS3,2010.0,Action,Konami Digital Entertainment,0.5,0.37,0.1,0.16,1.12,44.95,22.48,16.63,4.5,7.19,50.34,14
1825,Rocksmith,X360,2011.0,Misc,Ubisoft,0.84,0.2,0.01,0.08,1.12,38.43,32.28,7.69,0.38,3.07,43.04,13
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014.0,Action,Disney Interactive Studios,0.62,0.4,0.0,0.1,1.12,16.81,10.42,6.72,0.0,1.68,18.83,10
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12,16.44,16.93,0.0,0.16,1.32,18.41,19
1828,Call Of Duty 2: Big Red One,XB,2005.0,Shooter,Activision,0.66,0.4,0.0,0.05,1.12,25.34,16.72,10.14,0.0,1.27,28.38,19
1829,Yoshi's Cookie,NES,1992.0,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12,32.04,13.14,1.92,20.19,0.64,35.88,32
1830,Guitar Hero 5,PS2,2009.0,Misc,Activision,0.28,0.3,0.0,0.54,1.12,66.89,18.73,20.07,0.0,36.12,74.92,15
1831,Worldwide Soccer Manager 2008,PC,2007.0,Sports,Russel,0.0,1.12,0.0,0.0,1.12,59.6,0.0,66.75,0.0,0.0,66.75,17
1832,Spider-Man 2,XB,2004.0,Action,Activision,0.82,0.26,0.0,0.04,1.12,44.76,36.7,11.64,0.0,1.79,50.13,20
1833,Counter-Strike,XB,2003.0,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11,32.44,27.57,7.46,0.0,1.3,36.01,21
1834,Mad Max (2015),PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11,59.43,19.02,34.47,2.38,10.1,65.97,9
1835,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007.0,Action,Activision,0.63,0.37,0.0,0.11,1.11,66.78,42.07,24.71,0.0,7.35,74.13,17
1836,GRID,PS3,2008.0,Racing,Codemasters,0.31,0.57,0.03,0.2,1.11,57.28,17.76,32.65,1.72,11.46,63.58,16
1837,Guitar Hero Encore: Rocks The 80s,PS2,2007.0,Misc,RedOctane,0.92,0.04,0.0,0.15,1.11,25.26,23.24,1.01,0.0,3.79,28.04,17
1838,Sunset Overdrive,XOne,2014.0,Shooter,Microsoft Game Studios,0.62,0.4,0.0,0.08,1.11,44.6,27.65,17.84,0.0,3.57,49.51,10
1839,Rock Band,PS2,,Misc,Electronic Arts,0.71,0.06,0.0,0.35,1.11,61.88,43.93,3.71,0.0,21.66,68.69,0
1840,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,Ubisoft,0.68,0.38,0.0,0.05,1.11,32.73,22.26,12.44,0.0,1.64,36.33,19
1841,Donkey Kong Jr.,NES,1983.0,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11,66.33,21.89,4.64,46.43,0.66,73.63,41
1842,Arc the Lad,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,1.1,0.01,1.11,30.32,0.0,0.0,33.35,0.3,33.66,29
1843,NBA Jam Tournament Edition,GEN,1994.0,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03,1.11,48.7,46.26,6.82,0.0,1.46,54.06,30
1844,Need for Speed: ProStreet,Wii,2007.0,Racing,Electronic Arts,0.54,0.46,0.0,0.12,1.11,56.09,30.29,25.8,0.0,6.73,62.26,17
1845,Pikmin 3,WiiU,2013.0,Strategy,Nintendo,0.45,0.31,0.29,0.06,1.11,62.72,28.22,19.44,18.19,3.76,69.62,11
1846,Legend of Mana,PS,1999.0,Role-Playing,SquareSoft,0.18,0.13,0.73,0.07,1.11,54.2,9.76,7.05,39.57,3.79,60.16,25
1847,Lumines: Puzzle Fusion,PSP,2004.0,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.11,61.79,32.13,21.63,0.0,14.21,68.59,20
1848,Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.42,0.0,0.17,1.11,32.84,16.75,13.79,0.0,5.58,36.45,14
1849,Guitar Hero 5,PS3,2009.0,Misc,Activision,0.53,0.4,0.0,0.17,1.1,41.83,22.17,16.73,0.0,7.11,46.01,15
1850,Megamania,2600,1981.0,Shooter,Activision,1.03,0.06,0.0,0.01,1.1,59.23,61.01,3.55,0.0,0.59,65.15,43
1851,Medal of Honor: Airborne,X360,2007.0,Shooter,Electronic Arts,0.45,0.53,0.01,0.12,1.1,32.5,14.62,17.23,0.32,3.9,35.75,17
1852,The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Action,Nintendo,0.52,0.33,0.17,0.08,1.1,35.44,18.43,11.7,6.02,2.84,38.98,9
1853,Jungle Hunt,2600,1982.0,Platform,Atari,1.03,0.06,0.0,0.01,1.1,53.47,55.07,3.21,0.0,0.53,58.82,42
1854,Triple Play 98,PS,1997.0,Sports,Electronic Arts,0.61,0.42,0.0,0.07,1.1,56.17,34.26,23.59,0.0,3.93,61.79,27
1855,LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1,44.21,15.92,23.43,0.0,9.28,48.63,12
1856,Petz Dogz 2,DS,2007.0,Simulation,Ubisoft,0.47,0.52,0.0,0.12,1.1,32.44,15.25,16.87,0.0,3.89,35.68,17
1857,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,1.1,53.03,23.33,24.39,0.53,9.55,58.33,14
1858,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999.0,Strategy,Konami Digital Entertainment,0.0,0.0,1.1,0.0,1.1,29.72,0.0,0.0,32.69,0.0,32.69,25
1859,Lode Runner,NES,1984.0,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1,47.45,0.0,0.0,52.2,0.0,52.2,40
1860,The Final Fantasy Legend,GB,1989.0,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0,1.1,41.63,0.0,0.0,45.79,0.0,45.79,35
1861,Famicom Jump: Eiyuu Retsuden,NES,1989.0,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0,1.1,27.86,0.0,0.0,30.65,0.0,30.65,35
1862,F-Zero X,N64,1998.0,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1,39.8,17.91,13.13,11.54,1.19,43.78,26
1863,Popeye,NES,1983.0,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1,27.26,13.9,3.27,12.27,0.55,29.99,41
1864,NERF N-Strike,Wii,2008.0,Shooter,Electronic Arts,0.92,0.09,0.0,0.09,1.1,17.73,16.31,1.6,0.0,1.6,19.5,16
1865,NBA Live 2001,PS2,2001.0,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1,41.48,21.57,16.59,1.66,5.39,45.63,23
1866,SingStar Legends,PS2,2006.0,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1,68.81,8.26,51.61,0.0,15.83,75.69,18
1867,SingStar Rocks!,PS2,2006.0,Misc,Sony Computer Entertainment,0.0,0.84,0.0,0.25,1.1,64.85,0.0,54.47,0.0,16.21,71.33,18
1868,Tales of Symphonia,GC,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1,24.92,13.46,5.23,7.73,1.0,27.41,21
1869,Untold Legends: Brotherhood of the Blade,PSP,2005.0,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.1,38.9,21.01,12.84,0.39,8.56,42.79,19
1870,Star Ocean: The Second Story,PS,1998.0,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,60.83,15.82,6.08,43.8,1.22,66.91,26
1871,Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,0.31,0.22,0.45,0.12,1.1,68.36,21.19,15.04,30.76,8.2,75.2,11
1872,Star Wars: The Force Unleashed,PSP,2008.0,Action,LucasArts,0.43,0.41,0.0,0.25,1.09,40.52,17.42,16.61,0.0,10.13,44.17,16
1873,Imagine: Babysitters,DS,2008.0,Simulation,Ubisoft,0.63,0.36,0.0,0.1,1.09,15.83,9.97,5.7,0.0,1.58,17.25,16
1874,The Simpsons Game,PSP,2007.0,Action,Electronic Arts,0.24,0.55,0.0,0.31,1.09,27.12,6.51,14.92,0.0,8.41,29.56,17
1875,Yakuza 2,PS2,2006.0,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,47.43,2.37,1.9,39.84,7.59,51.7,18
1876,Skate 2,X360,2009.0,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,52.21,42.81,8.88,0.52,4.7,56.91,15
1877,Dragon Ball Z: The Legacy of Goku II,GBA,2003.0,Role-Playing,Atari,0.78,0.29,0.0,0.02,1.09,32.73,25.53,9.49,0.0,0.65,35.68,21
1878,Virtua Fighter 5,PS3,2007.0,Fighting,Sega,0.29,0.52,0.08,0.2,1.09,10.64,3.09,5.53,0.85,2.13,11.6,17
1879,NFL 2K1,DC,2000.0,Sports,Sega,1.02,0.05,0.0,0.02,1.09,45.07,45.97,2.25,0.0,0.9,49.13,24
1880,BeatMania,PS,1998.0,Simulation,Konami Digital Entertainment,0.0,0.0,1.07,0.02,1.09,14.91,0.0,0.0,15.95,0.3,16.25,26
1881,Namco Museum Battle Collection,PSP,2005.0,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.09,15.91,11.93,2.86,0.0,2.55,17.34,19
1882,LEGO Star Wars II: The Original Trilogy,DS,2006.0,Action,LucasArts,0.96,0.04,0.0,0.08,1.09,28.98,27.82,1.16,0.0,2.32,31.59,18
1883,Madden NFL 2004,XB,2003.0,Sports,Electronic Arts,1.02,0.02,0.0,0.05,1.09,42.55,43.4,0.85,0.0,2.13,46.38,21
1884,Empire: Total War,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.11,1.09,55.7,0.56,54.03,0.0,6.13,60.71,15
1885,The Godfather,PS2,2006.0,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,21.47,19.11,0.64,0.21,3.22,23.4,18
1886,Tiger Woods PGA Tour 10,Wii,2009.0,Sports,Electronic Arts,0.61,0.37,0.0,0.11,1.09,22.61,13.79,8.37,0.0,2.49,24.64,15
1887,Star Wars: Bounty Hunter,PS2,2002.0,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09,37.65,19.95,15.81,0.0,5.27,41.04,22
1888,Densha De Go!,PS,1997.0,Simulation,Taito,0.0,0.0,1.02,0.07,1.09,40.18,0.0,0.0,40.98,2.81,43.8,27
1889,Dante's Inferno,PS3,2010.0,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.09,67.67,43.31,18.95,2.71,8.8,73.76,14
1890,Sonic & Sega All-Stars Racing,DS,2010.0,Racing,Sega,0.44,0.54,0.0,0.11,1.09,14.37,6.32,7.76,0.0,1.58,15.66,14
1891,Skylanders Giants,PS3,2012.0,Action,Activision,0.35,0.52,0.0,0.22,1.09,10.54,3.69,5.48,0.0,2.32,11.49,12
1892,Endless Ocean,Wii,2007.0,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09,61.33,26.99,28.83,5.52,5.52,66.85,17
1893,NFL Blitz 2000,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.09,26.16,15.7,10.73,0.0,1.83,28.51,26
1894,Sonic Free Riders,X360,2010.0,Racing,Sega,0.74,0.26,0.0,0.09,1.09,22.34,16.53,5.81,0.0,2.01,24.35,14
1895,NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,60.68,32.16,24.88,0.0,8.5,65.53,21
1896,Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.41,0.03,0.18,1.08,11.71,5.5,4.8,0.35,2.11,12.65,16
1897,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,THQ,0.53,0.41,0.0,0.14,1.08,66.14,35.05,27.12,0.0,9.26,71.43,22
1898,Grand Theft Auto V,PC,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08,55.81,20.09,35.72,0.0,4.46,60.27,9
1899,The Biggest Loser,Wii,2009.0,Sports,THQ,0.87,0.12,0.0,0.09,1.08,52.24,45.45,6.27,0.0,4.7,56.42,15
1900,Fisherman's Bass Club,PS2,2002.0,Sports,Agetec,0.53,0.41,0.0,0.14,1.08,23.79,12.61,9.75,0.0,3.33,25.69,22
1901,MySims Agents,DS,2009.0,Adventure,Electronic Arts,0.55,0.43,0.0,0.11,1.08,45.62,25.09,19.62,0.0,5.02,49.27,15
1902,Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,Capcom,0.48,0.32,0.2,0.09,1.08,67.06,32.19,21.46,13.41,6.04,72.42,15
1903,NCAA Football 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08,19.48,19.87,0.0,0.0,1.17,21.04,12
1904,Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action,Take-Two Interactive,0.28,0.5,0.03,0.28,1.08,68.56,19.2,34.28,2.06,19.2,74.04,15
1905,FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.08,17.68,4.6,12.2,0.0,2.12,19.09,14
1906,The Orange Box,PS3,2007.0,Shooter,Electronic Arts,0.28,0.59,0.0,0.22,1.08,58.19,16.29,34.33,0.0,12.8,62.85,17
1907,Joust,2600,1982.0,Platform,Atari,1.01,0.06,0.0,0.01,1.08,15.47,15.62,0.93,0.0,0.15,16.71,42
1908,Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.43,0.01,0.11,1.08,14.4,7.63,6.19,0.14,1.58,15.55,16
1909,Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,52.49,33.59,17.85,0.0,5.25,56.69,20
1910,DiRT 3,PS3,2011.0,Racing,Codemasters,0.27,0.59,0.01,0.21,1.08,26.66,7.2,15.73,0.27,5.6,28.79,13
1911,LEGO City Undercover,WiiU,2013.0,Platform,Nintendo,0.47,0.4,0.13,0.08,1.08,53.19,25.0,21.28,6.91,4.26,57.45,11
1912,Spore Creatures,DS,2008.0,Simulation,Electronic Arts,0.67,0.3,0.0,0.11,1.08,24.39,16.34,7.32,0.0,2.68,26.34,16
1913,Ready 2 Rumble Boxing,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08,10.94,6.56,4.49,0.0,0.77,11.82,26
1914,Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08,46.65,35.92,13.53,0.0,0.93,50.38,21
1915,Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08,20.53,15.81,5.95,0.0,0.41,22.17,22
1916,Star Fox: Assault,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,24.18,16.44,4.35,4.59,0.73,26.11,19
1917,Naruto: Ultimate Ninja Storm,PS3,2008.0,Fighting,Namco Bandai Games,0.49,0.35,0.09,0.16,1.08,59.51,29.16,20.83,5.36,9.52,64.27,16
1918,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.08,36.49,28.83,6.57,1.09,2.55,39.41,13
1919,NCAA Football 14,X360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.06,1.07,31.8,32.12,0.0,0.0,1.91,34.03,11
1920,Doko Demo Issyo,PS,1999.0,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07,12.38,0.0,0.0,12.38,0.87,13.25,25
1921,Call of Duty 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07,35.47,31.57,1.06,0.0,5.32,37.95,18
1922,Imagine: Fashion Designer New York,DS,2008.0,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07,50.36,32.73,16.12,0.0,5.04,53.89,16
1923,Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,Take-Two Interactive,0.57,0.39,0.02,0.09,1.07,26.3,14.99,10.26,0.53,2.37,28.14,14
1924,Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07,63.01,33.4,25.2,1.89,6.93,67.42,16
1925,Virtua Fighter,SAT,1994.0,Fighting,Sega,0.17,0.12,0.77,0.02,1.07,14.03,2.39,1.68,10.8,0.28,15.01,30
1926,Championship Manager 99/00,PC,1999.0,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07,37.57,0.0,36.82,0.0,3.38,40.2,25
1927,WWE SmackDown vs. Raw 2010,PS2,2009.0,Fighting,THQ,0.53,0.01,0.0,0.54,1.07,13.94,7.39,0.14,0.0,7.53,14.92,15
1928,Pro Evolution Soccer 2008,X360,2007.0,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,51.96,4.16,46.76,2.08,2.6,55.6,17
1929,Super Princess Peach,DS,2005.0,Platform,Nintendo,0.72,0.06,0.21,0.07,1.07,47.58,34.26,2.85,9.99,3.33,50.91,19
1930,NHL 99,PS,1997.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07,36.73,21.67,14.69,0.0,2.57,39.3,27
1931,SoulCalibur III,PS2,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,25.61,18.95,3.84,3.33,1.28,27.4,19
1932,Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.43,0.44,0.0,0.2,1.07,53.72,23.1,23.64,0.0,10.74,57.48,11
1933,F1 2012,PS3,2012.0,Racing,Codemasters,0.12,0.64,0.05,0.25,1.07,44.26,5.31,28.33,2.21,11.06,47.36,12
1934,World Tour Soccer,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07,43.12,4.31,27.17,0.0,14.66,46.14,19
1935,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07,68.7,46.03,20.61,0.0,6.87,73.51,13
1936,Ridge Racer Revolution,PS,1995.0,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07,46.63,7.93,5.6,33.11,3.26,49.89,29
1937,LEGO Pirates of the Caribbean: The Video Game,X360,2011.0,Action,Disney Interactive Studios,0.54,0.42,0.0,0.1,1.07,44.44,24.0,18.66,0.0,4.44,47.55,13
1938,Hot Wheels Turbo Racing,PS,1999.0,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07,68.69,40.53,27.48,0.0,4.81,73.5,25
1939,NCAA Football 99,PS,1998.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06,55.51,32.75,22.2,0.0,3.89,58.84,26
1940,Mortal Kombat: Armageddon,PS2,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,60.14,52.92,2.41,0.0,8.42,63.75,18
1941,Aliens vs Predator,X360,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,17.4,9.57,6.96,0.0,1.91,18.44,14
1942,Freekstyle,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,16.1,8.37,6.6,0.0,2.25,17.07,22
1943,Junior Brain Trainer,DS,2008.0,Misc,GSP,0.23,0.74,0.0,0.1,1.06,22.14,5.09,16.38,0.0,2.21,23.47,16
1944,Darksiders,X360,2010.0,Action,THQ,0.67,0.29,0.01,0.1,1.06,13.26,8.88,3.85,0.13,1.33,14.06,14
1945,DiRT,PS3,2007.0,Racing,Codemasters,0.16,0.67,0.0,0.23,1.06,21.65,3.46,14.51,0.0,4.98,22.95,17
1946,Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.96,0.02,0.01,0.08,1.06,48.54,46.6,0.97,0.49,3.88,51.45,17
1947,Simple 1500 Series Vol. 1: The Mahjong,PS,1998.0,Misc,D3Publisher,0.0,0.0,0.99,0.07,1.06,42.83,0.0,0.0,42.4,3.0,45.4,26
1948,Sega Superstars Tennis,Wii,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,1.06,63.76,17.85,41.44,0.0,8.29,67.59,16
1949,NBA Street V3,PS2,2005.0,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06,38.75,20.15,15.89,0.0,5.43,41.08,19
1950,Sleeping Dogs,PS3,2012.0,Action,Square Enix,0.31,0.5,0.05,0.19,1.06,66.82,20.71,33.41,3.34,12.7,70.83,12
1951,Mercenaries 2: World in Flames,X360,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,43.34,28.17,13.0,0.43,4.33,45.94,16
1952,Worms Armageddon,PS,1999.0,Strategy,Microprose,0.18,0.81,0.0,0.08,1.06,20.13,3.62,16.31,0.0,1.61,21.34,25
1953,Hulk,PS2,2003.0,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06,32.49,16.89,13.32,0.0,4.55,34.44,21
1954,LEGO Indiana Jones: The Original Adventures,PS3,2008.0,Action,Activision,0.44,0.44,0.0,0.18,1.06,21.87,9.62,9.62,0.0,3.94,23.18,16
1955,NFL Blitz,N64,1998.0,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06,39.98,40.78,1.6,0.0,0.4,42.38,26
1956,NFL Quarterback Club 98,N64,1997.0,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.06,52.96,53.49,2.65,0.0,0.53,56.14,27
1957,DJ Hero,X360,2009.0,Misc,Activision,0.56,0.4,0.0,0.11,1.06,38.35,21.48,15.34,0.0,4.22,40.65,15
1958,Dora the Explorer: Dora Saves the Mermaids,DS,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.08,1.06,33.56,32.55,0.34,0.0,2.68,35.57,17
1959,Diablo II: Lord of Destruction,PC,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,18.25,18.8,0.36,0.0,0.0,19.35,23
1960,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06,35.65,13.9,14.62,3.56,5.7,37.79,8
1961,Spider-Man 2,GBA,2004.0,Action,Activision,0.76,0.28,0.0,0.02,1.06,28.37,21.56,7.94,0.0,0.57,30.07,20
1962,Virtua Tennis 3,PS3,2007.0,Sports,Sega,0.23,0.59,0.03,0.22,1.06,50.44,11.6,29.76,1.51,11.1,53.47,17
1963,Seek and Destroy,PS2,2002.0,Racing,Play It,0.52,0.4,0.0,0.14,1.06,40.52,21.07,16.21,0.0,5.67,42.95,22
1964,Warhawk,PS3,2007.0,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.06,20.99,10.29,8.19,0.0,3.57,22.25,17
1965,Apollo Justice: Ace Attorney,DS,2007.0,Adventure,Capcom,0.32,0.06,0.64,0.04,1.06,56.84,18.19,3.41,36.38,2.27,60.25,17
1966,Assassin's Creed: Rogue,X360,2014.0,Action,Ubisoft,0.58,0.38,0.0,0.09,1.05,62.06,35.99,23.58,0.0,5.59,65.16,10
1967,Cosmic Ark,2600,1981.0,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05,36.44,36.08,1.82,0.0,0.36,38.26,43
1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,18.11,14.67,1.99,0.0,2.35,19.02,18
1969,Skylanders: Trap Team,Wii,2014.0,Action,Activision,0.42,0.54,0.0,0.08,1.05,52.58,22.08,28.39,0.0,4.21,55.21,10
1970,Aliens vs Predator,PS3,2010.0,Shooter,Sega,0.41,0.47,0.0,0.18,1.05,59.4,24.35,27.92,0.0,10.69,62.37,14
1971,Defender,2600,1980.0,Misc,Atari,0.99,0.05,0.0,0.01,1.05,15.33,15.18,0.77,0.0,0.15,16.1,44
1972,Dance on Broadway,Wii,2010.0,Misc,Ubisoft,0.27,0.66,0.0,0.12,1.05,66.76,18.03,44.06,0.0,8.01,70.1,14
1973,Adventure Island,NES,1986.0,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,20.88,0.0,0.0,21.92,0.0,21.92,38
1974,Arc the Lad II,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.92,0.13,1.05,53.14,0.0,0.0,48.89,6.91,55.8,28
1975,Tag Team Match M.U.S.C.L.E.,NES,1985.0,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05,19.79,0.0,0.0,20.78,0.0,20.78,39
1976,Derby Stallion 96,SNES,1996.0,Sports,ASCII Entertainment,0.0,0.0,1.04,0.01,1.05,60.2,0.0,0.0,62.61,0.6,63.21,28
1977,UFC Undisputed 3,PS3,2012.0,Action,THQ,0.55,0.34,0.03,0.13,1.05,34.08,18.74,11.59,1.02,4.43,35.78,12
1978,NBA 2K3,PS2,2002.0,Sports,Sega,0.51,0.4,0.0,0.13,1.05,47.23,24.09,18.89,0.0,6.14,49.59,22
1979,Dragon Ball: XenoVerse,PS4,2015.0,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05,64.04,19.21,30.74,7.68,9.61,67.24,9
1980,The Simpsons: Road Rage,XB,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05,66.56,51.92,17.31,0.0,0.67,69.89,23
1981,Dave Mirra Freestyle BMX,PS,2000.0,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05,42.05,38.27,4.63,0.0,1.26,44.15,24
1982,Imagine: Animal Doctor,DS,2007.0,Simulation,Ubisoft,0.45,0.49,0.0,0.11,1.05,29.34,13.2,14.38,0.0,3.23,30.81,17
1983,WWE SmackDown vs. Raw 2010,X360,2009.0,Fighting,THQ,0.56,0.38,0.01,0.11,1.05,36.25,20.3,13.78,0.36,3.99,38.06,15
1984,Forza Motorsport,XB,2005.0,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05,54.3,28.24,27.69,0.0,1.09,57.02,19
1985,Sonic the Hedgehog,X360,2006.0,Platform,Sega,0.44,0.49,0.0,0.11,1.05,65.49,28.82,32.09,0.0,7.2,68.76,18
1986,MySims Agents,Wii,2009.0,Adventure,Electronic Arts,0.62,0.32,0.0,0.1,1.05,48.66,30.17,15.57,0.0,4.87,51.09,15
1987,Monster Rancher 2,PS,1998.0,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05,31.16,5.92,4.05,20.57,2.18,32.72,26
1988,Pokemon Conquest,DS,2012.0,Role-Playing,Nintendo,0.58,0.06,0.37,0.04,1.05,50.89,29.52,3.05,18.83,2.04,53.43,12
1989,The Simpsons Game,X360,2007.0,Action,Electronic Arts,0.54,0.4,0.0,0.11,1.05,34.04,18.38,13.62,0.0,3.74,35.74,17
1990,Guinness World Records: The Videogame,Wii,2008.0,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04,52.31,24.06,24.59,0.0,5.75,54.4,16
